title,runtime,genre,rating,votes,metascore
Cold Case,139 min,"Horror, Mystery, Thriller",6,"3,936",
Raja Raja Chora,145 min,Comedy,7.6,"1,670",
Bad President,90 min,"Comedy, Fantasy",4.5,"4,548",
Blood Born,92 min,Horror,4.2,272,
Traveling Light,90 min,Drama,5.8,12,
Commitment Phobia,84 min,"Comedy, Romance",5.8,186,
Death of a Virgin and the Sin of Not Living,87 min,"Comedy, Drama",6.9,134,
Stoyan,106 min,"Horror, Thriller",7.3,15,
"Snow, Tea and Love",115 min,"Comedy, Sci-Fi",5.7,"1,006",
Merise Merise,122 min,Romance,6.9,692,
Los Angeles,82 min,Drama,6.7,114,
Chempion mira,145 min,"Drama, Sport",6,395,
Das Haus,90 min,"Drama, Thriller",5.6,287,
Hell Hath No Fury,77 min,"Action, Horror",3.2,79,
Skylab,148 min,Drama,6.7,577,
Shark Huntress,82 min,"Action, Adventure, Thriller",1.6,174,
Double Dad,103 min,"Comedy, Drama, Family",5.6,"1,273",
Do Not Hesitate,91 min,Thriller,6.9,223,
Dwellers,80 min,Horror,2.7,128,
I Piss on Your Corpse,94 min,Horror,2.6,48,
Paper Heart,,Drama,8.5,33,
The Claus Family 2,97 min,"Comedy, Family, Fantasy",5.6,257,
Princess Khutulun,109 min,"Action, Drama, History",9.3,11,
Outside,85 min,Drama,4.9,176,
Once Upon a Time in Hong Kong,105 min,"Action, Crime, History",5.5,156,
Black Lies,,Drama,,,
Saltwater: The Battle for Ramree Island,82 min,Action,2.5,200,
Generation Wrecks,112 min,Comedy,9,127,
The Hole in the Fence,100 min,Drama,6.3,137,
Summoning Bloody Mary,77 min,Horror,3.5,27,
Last Call in the Dog House,91 min,"Drama, Sci-Fi",3.3,60,
Love Story,155 min,Romance,6.9,"3,812",
Wanton Want,92 min,"Drama, Fantasy, Romance",4.1,100,
Nenu Leni Naa Premakatha,123 min,Drama,8.8,"1,571",
Curious George: Cape Ahoy,88 min,"Animation, Adventure, Comedy",6.6,58,
As Far as I Can Walk,92 min,Drama,6.9,110,
On Our Way,91 min,"Drama, Romance",,,
Playlist,84 min,"Comedy, Drama, Music",6.3,633,
Harvey,100 min,Thriller,3.9,257,
The Wizard of Oz,,Fantasy,,,
Inve$titorii,105 min,"Comedy, Romance",6.5,696,
The Girl in Cabin 13: A Psychological Horror,82 min,Horror,2.7,180,
A Cape Cod Christmas,89 min,"Comedy, Drama, Family",5.9,151,
Apollyon - The Black Awakening,,"Drama, Horror, Mystery",5.3,43,
The Dawning of the Day,108 min,Drama,7.3,19,
Dikkiloona,144 min,"Comedy, Romance, Sci-Fi",6.3,"1,974",
Chuzhal,90 min,Thriller,5.7,256,
"Matando Cabos 2, La Máscara del Máscara",102 min,Comedy,4.3,306,
Rudra Thandavam,168 min,"Action, Drama",5.6,"3,080",
Un tour chez ma fille,88 min,Comedy,5.1,218,
Thellavarithe Guruvaram,120 min,Comedy,6.6,514,
Permitted,,Thriller,9.2,6,
They/Them/Us,90 min,"Comedy, Drama, Romance",4.7,312,
The Spore,91 min,Horror,2.9,348,
Eeswaran,130 min,"Action, Drama",4.3,"2,322",
Amy and Peter Are Getting Divorced,86 min,Comedy,4,49,
Chakra,131 min,"Action, Crime, Thriller",7,"4,774",
"Me, Myself and Di",93 min,Comedy,4.3,164,
Road to Boston,,Drama,,,
Kasada Thapara,137 min,Drama,7.4,"1,210",
Unlearning to Sleep,96 min,Comedy,5.1,26,
The Lockdown Hauntings,101 min,Horror,4.5,"1,741",
Shot in the Dark,,"Drama, Horror",7.2,11,
Safe House,205 min,Drama,9,26,
Paranormal Activity: Beyond Ritual,90 min,Horror,,,
Infected,81 min,Horror,2.5,257,
The Shattering,77 min,"Drama, Horror, Thriller",4.7,203,
Coins Forever,83 min,"Drama, Romance",6.7,29,
Kanakam Kaamini Kalaham,121 min,Comedy,5.7,"1,800",
In the Wake,135 min,Crime,6.6,92,
Joey and Ella,89 min,Family,4.9,115,
Tirsaat,136 min,Drama,,,
Hands Up,80 min,"Crime, Drama",2,134,
Secret Society,94 min,Drama,4.4,422,
Honor Among Thieves,81 min,Western,5.1,306,
An Ordinary Mother,87 min,Drama,6.7,24,
Cerebrum,120 min,"Sci-Fi, Thriller",3.8,222,
AI 1.0,120 min,Sci-Fi,,,
The Road Ahead,90 min,Drama,5.1,109,
Missing,124 min,"Crime, Drama, Mystery",7.4,45,
Signal: The Movie,122 min,Action,5.9,88,
Aki and Pawpaw,133 min,"Comedy, Drama",7.2,8,
The Hypnosis,85 min,"Horror, Thriller",5.1,137,
Behemoth,88 min,Horror,4.8,634,
Sara's,119 min,"Comedy, Romance",6.5,"2,377",
Maysville,114 min,Drama,7.3,95,
Murder at Teesri Manzil 302,121 min,"Mystery, Thriller",4.3,166,
The Mole Song: FINAL,129 min,"Action, Comedy",6.2,49,
The Devil's Tail,95 min,Horror,3.7,787,
Kenzeli,109 min,Drama,5.2,30,
I fratelli De Filippo,142 min,Drama,7.1,211,
Know Fear,77 min,Horror,3.9,636,
Raat Baaki Hai,100 min,"Drama, Thriller",5.2,412,
Open,71 min,"Drama, Romance, Sport",5.9,313,
The Secret Diary of an Exchange Student,96 min,"Comedy, Romance",5.3,871,
The Crime,,Crime,6.1,198,
Senior Entourage,85 min,Comedy,4.2,73,
Máquina para ver el alma,112 min,"Comedy, Drama, Romance",9,21,
Harland Manor,91 min,"Horror, Mystery, Thriller",3.9,205,
1618,90 min,"Drama, History",,,
Zalava,93 min,"Drama, Horror",6.4,217,
Breathe,,"Crime, Drama, Music",,,
Josefina,90 min,"Adventure, Drama, Romance",6,218,
Christmas Lovers Anonymous,,Romance,5,62,
You Can Never Go Home Again,,Thriller,6,68,
A Change of Heart,112 min,Drama,5.5,97,
Arisaka,96 min,"Action, Thriller",5.2,232,
Blue Moon Ball,95 min,Romance,5.7,71,
The Good Doctor,92 min,Drama,9,7,
Sarap mong patayin,73 min,Comedy,5.4,15,
Net,103 min,"Drama, Thriller",5.6,153,
Mirugaa,128 min,"Action, Drama, Thriller",4.7,151,
A Holiday Chance,110 min,"Comedy, Drama, Romance",7.5,30,
Senapathi,150 min,Crime,7.5,409,
Anti Indian,140 min,"Comedy, Drama",5.6,960,
Cato,90 min,"Crime, Drama, Music",6.9,49,
Ace & the Christmas Miracle,91 min,"Comedy, Family",4.4,83,
Evie,90 min,Thriller,5.4,30,
Windstorm: The Great Hurricane,96 min,"Adventure, Family",6.1,116,
Erida,124 min,Thriller,6.9,"1,497",
What Did You Eat Yesterday?,120 min,Romance,8.1,92,
Honey Trap,111 min,"Drama, Romance",8.3,"1,610",
Hands that Bind,116 min,Drama,8.1,26,
Dulo,104 min,Drama,6,10,
For Rent,93 min,"Comedy, Drama",6.3,296,
Tú eres mi problema,111 min,Comedy,4.9,124,
The Only Way Out,110 min,"Mystery, Thriller",7.2,705,
Grave Intentions,88 min,Horror,3.9,174,
The Deadliest Lie,82 min,"Drama, Mystery, Thriller",6.3,52,
Hotel Coppelia,113 min,Drama,6.4,523,
Gerda,111 min,Drama,5.8,235,
Lockdown Lagna,,Comedy,,,
Collar Bomb,86 min,"Action, Thriller",5.1,"1,687",
The Pizza Joint,,"Action, Comedy, Crime",4.2,113,
We All Lie My Darling,81 min,"Drama, Romance",6.8,86,
The Gift of Grace,120 min,Drama,8.4,22,
Cave Rescue,99 min,Drama,8.2,10,
Vanam,124 min,"Horror, Thriller",6.2,873,
Sometime Other Than Now,89 min,"Drama, Romance",5.7,234,
The Haunted Hotel,95 min,"Comedy, Drama, Horror",4.3,397,
The Four Walls,114 min,Drama,6.2,66,
Restart the Earth,89 min,Action,5.9,93,
Bastard's Crossing,95 min,"Thriller, Western",3.6,244,
Connected,110 min,"Crime, Drama",7.6,10,
Heavens Above,120 min,"Comedy, Drama, Fantasy",6.6,759,
Howard High,,Drama,5.2,14,
Dissolved,106 min,Drama,5.4,7,
Gulliver Returns,90 min,"Animation, Adventure, Family",4.2,172,
Krack,154 min,"Action, Crime, Thriller",7,"6,676",
"My Husband, My Lover",109 min,Drama,6.4,20,
The Seance,82 min,Horror,5,313,
Mother Schmuckers,70 min,Comedy,5,250,28
Egregor,95 min,"Action, Mystery, Thriller",5,22,
Mission C,,Action,7.6,331,
There's Something About Mario,111 min,"Comedy, Musical, Romance",5.3,388,
Amazon Queen,86 min,"Action, Drama",5.9,"1,292",
The Immortals,53 min,Action,4,11,
My Amanda,89 min,"Drama, Romance",5.6,301,
Dangerous Snow Day,90 min,Thriller,5.8,116,
Immaculate,114 min,Drama,7,105,
Easter Killing,85 min,Horror,4.4,65,
Midnight Massacre,,"Action, Sci-Fi",6.6,30,
Flyover,120 min,Thriller,7.1,28,
Whether the Weather Is Fine,105 min,Drama,7,67,
"Love, Life and Goldfish",92 min,"Musical, Romance",7,43,
Zombie Reddy,130 min,"Action, Comedy, Horror",6.7,"2,549",
Kanabadutaledu,115 min,"Crime, Thriller",5.6,191,
Please Kill Me,124 min,"Crime, Romance, Thriller",7.4,300,
Dreaming Hollywood,122 min,Crime,3,147,
Time to Dance,113 min,"Musical, Romance",2.2,952,
Eva & Adam,82 min,"Comedy, Family, Romance",5.2,86,
Weekend Warriors,93 min,"Action, Adventure, Thriller",3.4,130,
A Christmas Wish in Hudson,90 min,Romance,6.5,65,
Heroes Return,90 min,"Action, Comedy",4.3,67,
The Family,102 min,Drama,7.2,126,
Operation Portugal,95 min,Comedy,4.4,264,
Junkrat Train,92 min,"Action, Drama, Horror",4.8,83,
Koora,,Drama,6.2,71,
Cain and Abel,100 min,Drama,7.9,51,
Sexual Drive,70 min,Drama,6.3,106,66
The Devil's Deal,116 min,"Drama, Thriller",7,16,
Jurassic Shark 2: Aquapocalypse,71 min,"Action, Adventure, Horror",1.7,165,
The Disappearance of Mrs. Wu,88 min,,,,
Echoes of Violence,106 min,"Crime, Drama, Thriller",5.8,420,
Cabras da Peste,97 min,"Action, Comedy, Crime",6,"1,747",
The Method of Repulsing the Dove,118 min,Mystery,5.9,61,
The Man from Nowhere,79 min,Drama,5.8,71,
Shark Attack,,Action,,,
X,134 min,Drama,7.7,13,
Arendelle Castle Yule Log: Cut Paper Edition,180 min,Animation,7.9,35,
Black Rose,,Thriller,5.4,65,
Later Days,90 min,Comedy,4.6,180,
Singing Jailbirds,106 min,Drama,6.4,23,
The Families Feud,,Comedy,6.2,18,
A Brixton Tale,76 min,"Drama, Romance, Thriller",4.6,315,
Palitan,107 min,Drama,6.7,66,
3:33,133 min,"Drama, Horror, Thriller",5.1,170,
Breaded Life,120 min,"Comedy, Drama",7.8,8,
Chathur Mukham,138 min,"Horror, Thriller",5.9,"1,721",
Jango,146 min,"Sci-Fi, Thriller",5.7,349,
All Our Fears,90 min,"Biography, Drama, Romance",6.6,236,
The Covid Killer,83 min,"Crime, Horror, Thriller",1.6,210,
Conjuring the Genie,90 min,"Drama, Horror",4.3,588,
A Rich Christmas,91 min,"Drama, Family",4.6,130,
E noi come stronzi rimanemmo a guardare,108 min,"Comedy, Drama, Sci-Fi",6.4,565,
The Prior,120 min,"Mystery, Thriller",4.5,51,
The Sleeping Negro,73 min,Drama,7.3,94,
Kilroy,86 min,"Biography, Drama, History",3.8,134,
The Final Code,123 min,Drama,5.8,70,
Changes,145 min,Family,,,
Ne Zha,105 min,Drama,4.7,82,
Alex/October,,Drama,7.8,18,
A blue flower,85 min,Drama,7.2,84,
Sisterhood,90 min,Drama,6.7,409,
Acts of Love,71 min,Romance,7.7,49,
When Men Were Men,96 min,Drama,,,
Dedo,96 min,"Comedy, Sci-Fi",4.1,385,
Righteous Blood,81 min,"Action, Western",3.9,123,
Another Us,77 min,Sci-Fi,3.5,66,
The Big Bend,103 min,,8.8,10,
Fire in the Mountains,84 min,Drama,7,62,
Fate/Grand Order The Movie Divine Realm Of The Round Table: Camelot Paladin; Agateram,96 min,"Animation, Action, Drama",6.7,147,
The Black Book,75 min,Horror,3.4,159,
Lie to Me the Truth,87 min,"Drama, Thriller",3.8,160,
Yang Jian,,Animation,6,7,
Schemes in Antiques,123 min,"Action, Adventure, Comedy",6,269,
Detective Sathyabhama,113 min,Drama,7.4,32,
The Room,101 min,"Drama, Horror, Thriller",5.8,530,
Fly,110 min,"Drama, Music, Romance",7,50,
Wildcat,93 min,"Drama, Thriller",4.6,405,
Karkhanisanchi Waari: Ashes on a road trip,108 min,"Comedy, Drama, Family",6.9,175,
Dog Years,97 min,"Comedy, Romance",5.7,290,
Eighteen Hours,133 min,Thriller,4.8,216,
PellisandaD,142 min,"Comedy, Romance",4.5,230,
Networker Baire,90 min,"Adventure, Drama, Romance",7.9,"2,594",
The Exorcism of Carmen Farias,93 min,Horror,3.8,206,
Lalbagh,107 min,Thriller,4.5,181,
Shooter,143 min,"Action, Crime, Drama",6.5,34,
Moonlight Shadow,93 min,Drama,5.5,116,
Flee the Light,81 min,"Horror, Thriller",3.1,99,
Flunk: The Sleepover,81 min,"Drama, Romance",8,28,
The Hidden Child,110 min,Drama,6.5,157,
Niks vreemds aan,87 min,Comedy,5.5,161,
Anna X,98 min,,,,
You Might Get Lost,,"Drama, Horror, Sci-Fi",6.7,107,
Climax,80 min,Thriller,7.8,"2,463",
Scrapper,87 min,"Crime, Drama, Thriller",4.5,562,
Made in Chinatown,89 min,"Action, Comedy",3.9,376,
Namaste Wahala,106 min,"Drama, Romance",5.1,"1,541",
Sons of the Sea,82 min,Drama,7.5,20,
Malibu Road,105 min,"Mystery, Romance, Thriller",7.4,38,
The Gingerweed Man,49 min,Comedy,5,119,
Love Gods from Planet Zero,,"Action, Comedy",8,8,
Will You Marry?,87 min,Drama,4.9,57,
Wetland,107 min,Thriller,6,45,
Amityville Scarecrow,88 min,Horror,2.9,130,
Europa,72 min,"Drama, Thriller",5.7,124,
Kilit,110 min,"Action, Mystery, Thriller",6.3,209,
TRUE,92 min,Thriller,8.2,"1,500",
Ouija: Deadly Reunion,86 min,Horror,2.8,92,
Sultan,145 min,"Action, Drama",6.2,"4,302",
Maria Chapdelaine,158 min,Drama,7.2,170,
The Degenerates,50 min,Horror,5,11,
Ex,87 min,"Drama, Horror, Mystery",4.3,140,
Goodbye Happiness,107 min,"Comedy, Drama",6.5,65,
Rohingya - People from nowhere,107 min,"Action, Drama",5.4,29,
Intolerance,107 min,Drama,7.3,217,
Adventures in Success,98 min,Comedy,4,90,
This Is Not a War Story,112 min,"Drama, War",6,104,
Hunters,95 min,Action,3.3,116,
Battle in Space: The Armada Attacks,90 min,"Action, Sci-Fi",2.4,276,
Dragonfly Boy,90 min,Drama,6.6,46,
Celts,106 min,Drama,7.2,260,
Coppelia,82 min,"Animation, Family, Sci-Fi",6.4,88,
Christmas Down Under,85 min,"Comedy, Family",4.5,894,
(R)Evolutie,83 min,"Comedy, Drama, Sci-Fi",6.7,95,
#Unknown,97 min,"Horror, Thriller",7.1,16,
Isolation,104 min,Horror,3.4,274,
Chinese Doctors,129 min,Drama,4.7,433,
Varthamanam,123 min,Drama,6.5,489,
The Mutation,87 min,"Horror, Sci-Fi, Thriller",2.9,567,
Carolina's Calling,93 min,"Adventure, Comedy, Sci-Fi",5.2,105,
Just in Time,91 min,"Comedy, Drama, Family",7,44,
The Boathouse,93 min,Thriller,4.7,213,
Angeliena,95 min,"Comedy, Drama",7.3,"1,157",
Cold Blooded Killers,90 min,"Action, Thriller",2.6,116,
Copacul Dorintelor: Amintiri din Copilarie,87 min,"Family, Fantasy",8.2,128,
Baphomet,72 min,"Horror, Thriller",3,209,
Kaanekkaane,120 min,"Drama, Thriller",7.9,"3,682",
Icon,108 min,"Drama, Romance",8.4,15,
Holy Hollywood,82 min,Comedy,6.6,33,
Atlas,90 min,Drama,5.7,153,
Final Frequency,91 min,"Action, Drama, Sci-Fi",3,182,
What Happens,,Drama,,,
Power Play,135 min,Thriller,6.9,"1,051",
Dad,76 min,"Comedy, Drama",6.8,"1,113",
Chaavu Kaburu Challaga,137 min,Comedy,5.8,749,
The Male Gaze: Three's Company,98 min,Drama,3.4,93,
The Scars of Ali Boulala,100 min,"Biography, Drama, Sport",7.3,154,
Sons of the Neon Night,,Crime,,,
It Knows You're Alone,46 min,Horror,4.1,33,
Candy Coated Christmas,83 min,"Comedy, Romance",5.7,260,
Chyby,99 min,Drama,7,96,
Thimiram,107 min,Drama,6.4,52,
House of Glass,88 min,"Drama, Thriller",4.2,176,
Miracle,118 min,"Crime, Drama, Thriller",6.7,233,
Buzz Cut,,"Comedy, Horror",8.2,42,
¡A todo tren! Destino Asturias,90 min,Comedy,5.2,617,
Runner,87 min,"Drama, Romance, Thriller",6.8,166,
Valiyor Silar,85 min,Action,7.4,413,
Kally's Mashup ¡Un cumpleaños muy Kally!,100 min,Musical,8.9,27,
Once We Were Good for You,72 min,"Drama, Thriller",6.3,101,
Breathless,106 min,"Crime, Drama, Thriller",6.3,27,
Bad Girls,97 min,"Adventure, Crime, Thriller",3.5,243,
Bhavai,114 min,"Drama, Romance",5.8,"2,007",
Octonauts: The Ring of Fire,72 min,Animation,6.4,128,
Gunpoint,107 min,Thriller,3.3,74,
Bad Detectives,,"Crime, Mystery, Thriller",4.2,30,
The Trouble,,Comedy,7.4,9,
Calls,151 min,Drama,4.1,249,
White Sky,104 min,"Action, Sci-Fi",2.7,160,
Todd,91 min,"Drama, Mystery, Thriller",3.2,171,
Mohan Kumar Fans,126 min,Drama,5.5,893,
Claw,81 min,"Horror, Mystery, Sci-Fi",4.1,382,
Kakegurui Part 2: Desperate Russian Roulette,119 min,"Drama, Mystery, Thriller",6.2,156,
Jaggi,117 min,Drama,9.7,6,
Texas Red,83 min,"Action, History, Western",3.5,248,
Swingers,97 min,"Comedy, Drama, Romance",4.5,116,
All the World Is Sleeping,110 min,Drama,7.3,14,
Youth Topia,85 min,"Comedy, Drama",6.9,24,
Cannibal Troll,84 min,Horror,2.3,228,
TRUST NOBODY,90 min,Drama,8,37,
Rehana,107 min,Drama,7.4,"1,101",84
The Resonator: Miskatonic U,68 min,"Fantasy, Horror, Sci-Fi",4.9,279,
Operation Java,146 min,"Crime, Drama, Thriller",8.1,"4,121",
Octagon,100 min,Horror,3.3,55,
Hoodman,98 min,"Crime, Horror, Thriller",4.9,"2,924",
The Matchmaker,116 min,"Comedy, Drama, Family",7.3,71,
A Naija Christmas,121 min,"Comedy, Drama, Romance",4.7,336,
Actors,80 min,Drama,7.1,8,
Toothfairy 3,93 min,Horror,2.5,244,
Petya na moyata Petya,90 min,Drama,7.4,289,
Nudo mixteco,91 min,Drama,7.3,72,
The End of Us,92 min,"Comedy, Drama",4.8,210,
Dickless Zombies,,Horror,,,
Sashi,130 min,Romance,4.7,357,
Get Him Girl!,120 min,"Comedy, Romance",6.3,71,
Paramapadham Vilayattu,121 min,Thriller,3.6,335,
Con quién viajas,87 min,Comedy,6,242,
El a kezekkel a papámtól!,,"Family, Musical",3.2,152,
Finlandia,97 min,"Drama, Fantasy",8,27,
Inventura,106 min,Drama,7.2,55,
Zero Nine,93 min,"Action, Crime, Thriller",8.1,993,
Four Walls,109 min,"Comedy, Drama",6.7,83,
Badava Rascal,133 min,"Action, Comedy",7.8,"1,500",
The Braves,99 min,Drama,7.1,95,
CompleX,105 min,Thriller,5.3,46,
Ai confini del male,101 min,"Drama, Thriller",6,210,
Time of Impatience,94 min,Comedy,7.4,71,
Ring Wandering,104 min,"Drama, Fantasy",7.9,18,
Lahore Confidential,68 min,"Crime, Drama, Thriller",2.9,673,
Guimoon: The Lightless Door,85 min,"Horror, Mystery, Thriller",4.8,227,
Appetite for Sin,,Horror,,,
Soulmate(s),92 min,Comedy,3.7,87,
Age of Stone and Sky: The Sorcerer Beast,80 min,Fantasy,6.9,59,
Ashman,97 min,"Comedy, Fantasy, Sci-Fi",5.6,84,
Ahmed Noterdame,101 min,"Comedy, Fantasy, Horror",4.6,380,
Carta Blanca,100 min,"Action, Crime, Drama",8.7,20,
Anugraheethan Antony,120 min,"Drama, Romance",6.3,"1,735",
One and the Same,110 min,Mystery,6.1,"4,927",
The Thing Inside Us,83 min,"Horror, Sci-Fi, Thriller",3.4,152,
Lo invisible,83 min,Drama,6.2,38,
Nothing is Impossible,90 min,Romance,,,
Switchh,130 min,"Action, Thriller",3.7,89,
Ghosting Gloria,113 min,Comedy,6.5,80,
Room 9,104 min,"Drama, Horror, Thriller",2.3,330,
Scare Us,97 min,Horror,4.6,434,
The Ghost and the Tout Too,108 min,"Comedy, Fantasy",8.7,7,
R23 Criminals Diary,120 min,Crime,9.2,147,
A Radiant Girl,98 min,"Drama, History",6.1,134,
Qala,,"Drama, Horror, Thriller",7.4,11,
The Boonies,97 min,Horror,2.7,283,
Bad Christmas,93 min,"Comedy, Crime, Thriller",6.4,340,
Dying to Marry Him,88 min,"Romance, Thriller",4.5,90,
Coeurs vaillants,92 min,Drama,,,
Cupid for Christmas,87 min,"Comedy, Fantasy, Romance",5.4,152,
Companion,100 min,Horror,5.4,783,
Blue Moon,85 min,Drama,5.9,184,
The Grandson,,"Action, Drama, Thriller",7.4,378,
The Jungle Demon,169 min,"Adventure, Horror, Thriller",,,
Knights of Sidonia: Love Woven in the Stars,110 min,Animation,7.4,84,
Digging to Death,96 min,"Horror, Thriller",4.5,479,
Petite Solange,86 min,Drama,5.7,64,
SpaceBoy,100 min,"Adventure, Family",5.9,129,
Sonata,118 min,Drama,7.5,94,
Snälla kriminella,90 min,"Action, Comedy, Crime",4.2,395,
Entanglement,,Drama,6,40,
You and Me,96 min,"Drama, Romance",7.7,6,
Kaalgat Karel,90 min,Comedy,6.1,14,
Waah Zindagi,130 min,"Comedy, Drama, Musical",7.3,93,
Pedro,96 min,"Biography, Drama",7.9,34,
L'Arracheuse de temps,105 min,Fantasy,6.5,115,
Royal Jelly,93 min,"Horror, Thriller",2.6,228,
Adieu Godard,83 min,Drama,6.8,16,
Welcome Venice,100 min,Drama,7.1,111,
Railway Heroes,124 min,"Drama, History, War",5.8,184,
La isla de las Muñecas,,Horror,,,
Trip,121 min,"Horror, Sci-Fi, Thriller",3.7,313,
Staging,96 min,"Drama, Crime",5.3,207,
Crush kong curly,101 min,Comedy,6.9,46,
Dayi: Bir Adamin Hikayesi,125 min,Action,5.5,437,
Paranormal Prison,70 min,"Horror, Thriller",2.8,220,
"Me, We",115 min,Drama,7.8,47,
The Right Mom,81 min,Drama,5.1,19,
Ravana Lanka,97 min,"Action, Crime, Thriller",8.3,"1,192",
Delicate State,89 min,Drama,7.1,90,
Tamil Rockers,98 min,"Action, Drama",2.9,33,
Let's Hit It,45 min,"Comedy, Drama",,,
Shoebox,98 min,Drama,8.3,27,
Tokyo Shaking,101 min,Drama,6.1,310,
A Butterfly's Heart,,"Drama, Family",8.4,20,
Never and Again,89 min,Romance,4.3,134,
Vasectomia,142 min,"Drama, Thriller",6.1,14,
Something About Her,,Drama,,,
The Ritual,88 min,Comedy,3.4,159,
The Hike,92 min,"Action, Comedy, Horror",2.1,321,
Don Filipo,92 min,"Horror, Thriller",5.6,35,
Alegría,105 min,Drama,5.9,17,
Bankrolled,97 min,Comedy,4,306,
The Underground War,,"Action, Sci-Fi",6,119,
Martanské lode,76 min,"Drama, Romance",5.4,31,
Revirginized,97 min,Comedy,5,21,
Who Is Christmas Eve?,90 min,Drama,7.4,39,
The Unthinkable,,Thriller,5.7,80,
Vaa Deal,,Action,9.7,7,
The Everlasting Story,100 min,"Animation, Adventure, Family",5.8,92,
Rewind,123 min,"Action, Drama",7.7,695,
Surveilled,106 min,"Horror, Thriller",7.4,47,
The Trip,94 min,Drama,7.9,"1,303",
House Arrest,106 min,Drama,6.3,219,
My Beautiful Bride,85 min,"Drama, Thriller",4.5,101,
Dumb & Dahmer,,Horror,4.8,11,
The Zeme,91 min,"Horror, Thriller",3.1,119,
Good Madam,92 min,Horror,6.6,51,
Spider in the Attic,83 min,"Horror, Sci-Fi",2.8,130,
Down in Paris,102 min,Drama,5.5,62,
Hope's Legacy,103 min,"Animation, Drama, Family",5.8,77,
"Wrong Place, Wrong Time",85 min,"Action, Horror, Thriller",3.8,"1,869",
Yuvarathnaa,161 min,"Action, Drama",6.3,"4,320",
Wild Dog,145 min,"Action, Adventure, Crime",6.1,"2,256",
American Gangster Presents: Big 50 - The Delrhonda Hood Story,95 min,Drama,3.7,205,
Sune - Mission Midsummer,86 min,Family,5,165,
Ayinla,110 min,Drama,9.1,8,
Hello Charlie,102 min,Comedy,5.7,"4,352",
Mumbaikar,,"Action, Drama, Thriller",2.9,23,
Looking for Venera,111 min,Drama,6.7,157,
Deadly Promises,81 min,"Drama, Horror, Thriller",5.8,"1,211",
City Limits,,"Action, Crime, Drama",,,
Som Pla Noi,98 min,"Comedy, Romance",4.1,28,
Show Me the Ghost,82 min,"Comedy, Horror",5.4,179,
Héliopolis,116 min,"Drama, History",8.1,297,
Mistaken,,Biography,,,
Lost Outlaw,90 min,Western,3.4,94,
Come Play with Me,80 min,Horror,5.1,275,
Aaha,146 min,Sport,6.2,653,
Foscadh,93 min,Drama,7.5,64,
The Wheel,83 min,Drama,6.7,22,66
Finding Jesus 2,52 min,"Family, Animation",4.5,98,
The Assistant,135 min,Thriller,5.5,10,
Otar's Death,107 min,Drama,7.2,36,
Apps,91 min,"Comedy, Fantasy, Horror",6.5,32,
I'm Not Him,88 min,Drama,4.3,197,
Presencias,,,,,
Dymez,101 min,"Action, Comedy, Drama",5.5,37,
Klein Karoo 2,100 min,Romance,6.9,8,
A1 Express,138 min,Drama,6.3,786,
Modern Love,87 min,"Comedy, Drama, Romance",6,105,
Fuffad Ji,114 min,Drama,6.4,276,
The Salamander,119 min,Drama,6.6,30,
Lena and Snowball,90 min,"Adventure, Comedy, Family",5.4,253,
The Mousetrap,,Mystery,,,
Heavy,,Drama,4.3,61,
"Alice, Through the Looking",90 min,"Adventure, Comedy, Mystery",6.5,16,
10 Steps to Love,90 min,Romance,7.9,16,
8eraf,88 min,"Comedy, Drama",5.4,218,
Jack's Ride,70 min,Drama,6.1,46,
A World Without,107 min,"Drama, Mystery, Sci-Fi",3.8,338,
Tumi Ashbe Bole,107 min,"Drama, Romance",4.1,79,
Autumn Road,95 min,"Drama, Horror, Mystery",3.8,165,
The Jenkins Family Christmas,94 min,"Comedy, Drama",6.3,109,
Borrder,,"Action, Thriller",,,
Aafat-e-Ishq,114 min,"Comedy, Drama, Thriller",4.3,394,
Thinkalazhcha Nishchayam,109 min,"Comedy, Drama, Romance",7.8,"1,882",
Panchhi,98 min,"Crime, Thriller",7.2,337,
Death Alley,94 min,Western,3.2,386,
Sweet Disaster,90 min,"Comedy, Drama, Family",6.9,23,
Damaged Goods,,Drama,,,
Garbage Theory,79 min,Comedy,5.1,228,
The Christmas Dance,94 min,"Drama, Family, Romance",4.6,190,
Sister,127 min,Drama,6.6,376,
Magnetic Fields,78 min,"Comedy, Drama",7.3,73,
Escape of Shark,66 min,"Action, Adventure, Horror",4.2,35,
Vakeel Saab,153 min,"Action, Crime, Drama",7,"11,669",
Tuck Jagadish,145 min,"Action, Drama",5.7,"3,046",
Akif,111 min,"Biography, History",2.1,153,
Dragon Fury,88 min,"Fantasy, Horror, Mystery",3.6,536,
Shava Ni Girdhari Lal,120 min,Comedy,5.4,443,
Little Big Mouth,94 min,"Comedy, Music, Romance",3.9,176,
Winifred Meeks,88 min,Horror,3.9,118,
Divaswapna,130 min,Drama,9,256,
Fire on the Plain,113 min,Drama,7.3,76,
Purse,90 min,"Horror, Thriller",,,
Attention Attention,64 min,"Music, Musical",8.1,66,
7 donne e un mistero,82 min,"Comedy, Crime",5.7,146,
G - Zombie,116 min,Sci-Fi,7.4,"4,082",
Sardunya,82 min,"Crime, Drama",6.6,632,
Bashira,124 min,Horror,6.7,23,
The Man Behind the Camera,100 min,Drama,,,
Open Your Eyes,99 min,"Drama, Horror, Mystery",4.1,171,
